Location.ID,pca_0,pca_1,pca_2,pca_3
43416,7654.93388491,13191.8709176,23755.5762202,875.751111518
43417,7057.73674608,12427.9675047,24148.7454151,9.93301118994
43418,23626.0690952,-6177.53919747,-2631.4147259,1645.7508819
43419,23523.490332,-6343.20088849,-2538.34193313,1531.65129987
43420,23523.4878874,-6343.19974436,-2538.3425664,1531.65013258
43421,23673.1880408,-6229.72353774,-2620.64073441,1652.67381375
43422,23474.4852526,-6414.32660848,-2440.99476656,1512.93701255
43423,-276.067702234,1542.79913624,31427.322459,-15373.4405576
43424,13330.738419,380.82821607,12336.6955412,-2171.91316487
43425,23560.4207785,-6311.67293582,-2592.00064787,1543.92033824
43426,20674.417964,-10181.5648092,-320.849409467,-2853.28840897
43427,20600.8000661,-10350.2597678,-315.906646658,-3053.25710286
43465,3862.31483435,-4229.05472108,12297.5735101,-11156.3752941
43466,-43007.8132547,-2199.90956046,5531.302096,17069.113217
43467,-48625.260899,939.730385531,1145.27304026,18760.5922326
43468,-42906.6159036,-38517.0682866,-10701.5327867,-7492.750205
43469,-38144.4790347,7140.8394148,-37.3949909744,28557.8600084
43470,-34893.3991143,-24729.916288,-23594.3326252,15791.9314219
43471,-13131.6390371,-4342.577604,-23728.2723317,-21494.3740812
43472,-12982.736689,10323.1172651,15312.6338754,-17456.2063105
43473,-13280.5278776,-4156.14218322,-23527.324059,-21462.3552409
43474,5995.75139167,-19835.7872984,501.163363226,-17027.0832626
43475,-16776.5292234,-35355.1534449,-907.484095058,21344.4216365
43476,-35306.0857455,-30074.6304099,37149.7820063,4034.90442054
43477,-29757.9883759,467.069505425,31388.8975844,-39675.7128388
43478,-29757.992898,467.067992208,31388.8972764,-39675.7153628
43479,-46601.1103891,16283.0995991,6471.4419151,-34385.5352393
43480,14600.0134514,-18586.1067974,5335.27535042,-16216.093588
43481,15302.7631264,-17953.9912719,5102.72433746,-15114.9436552
43482,11271.6446525,-12113.8580112,11006.7710341,-14834.4148972
43483,15341.7862522,-17472.0206301,4925.24783605,-14765.4182102
43484,11261.6606712,-11964.6515099,10882.0600605,-14710.8430586
43485,14097.9827682,1743.34482652,-14959.1783092,-40.6397213122
43486,-3241.91145208,-2547.68413638,-19532.3658233,-19267.7238753
43487,-20868.0385707,-40060.9199502,403.121948513,13736.4394808
43488,-2754.97211524,9852.51610674,35968.1666422,-12863.2104618
43574,-31722.3120892,-52747.2368612,18712.9530445,-3841.88409135
43575,-32600.1935167,-46583.4147905,13283.5373753,169.765334236
43576,-18890.8986595,-29317.4227083,6777.06202339,17326.7963201
43577,-40254.3567648,754.198397258,4461.24102101,-6358.92646642
43578,-26592.8566006,-45827.5599595,15580.9697061,4356.45054168
43579,-32582.8236972,-6375.8807552,-23337.4341226,25235.6425019
43580,-5295.70574299,-31862.9796769,1484.8633816,29475.750669
43581,24887.665786,-5103.82565391,-3074.94093984,3263.87328271
43582,19771.7800924,479.627785092,3083.67781813,3017.5130433
43583,19771.7800924,479.627785092,3083.67781813,3017.5130433
43584,-3843.81249997,-7211.66327072,-5178.69843051,-15325.3265478
43585,-14076.6016902,-33133.7838868,12367.462641,18982.3239449
43586,-1637.94729516,-23182.0073516,11713.5788629,1772.37130217
43587,-43135.2445501,-27921.9592614,-10589.8509864,3832.31369815
43588,-37178.1643803,-18343.6340505,-29572.5288323,18683.8711978
43589,-29421.1788628,-11273.0678051,-30712.584586,26381.2245704
43590,-43898.4282783,-16784.5607437,-21580.7483856,14320.0047714
43591,-3825.2771218,-29916.5586704,905.082680509,31540.6335566
43592,-3825.2771218,-29916.5586704,905.082680509,31540.6335566
43593,-5145.82027028,-28007.2664897,2840.65845073,31630.73473
43594,-3473.75910218,-29633.9096968,831.892276476,31913.1393331
43595,-6499.9441472,-26102.5325497,4808.33542758,31686.690156
43596,5644.68998275,-14364.8114965,6782.83750377,-12427.9311017
43597,23940.0386552,-5946.18875426,-2788.42615849,2714.52326545
43598,24428.8266435,-5428.45820923,-2889.95816872,3299.51432797
43599,-33689.5725259,17665.5335324,7205.60048185,16622.1802802
43600,21714.9266161,-9135.13162674,-748.871296017,-731.700818374
43601,12677.1166094,11145.4113448,15693.5185307,4451.53434366
43602,23445.0427466,-5722.06505208,-2911.12425641,2726.82335094
43603,23515.9588261,-5733.13286486,-2872.80861343,2644.01964481
43604,23582.9102335,-5689.6894133,-2891.70460272,2708.59529257
43605,24012.2221121,-5525.41940778,-2848.51540463,3048.42040064
43606,23831.0641777,-5458.63741206,-2962.63707611,2817.19368477
43607,23694.0965519,-5569.41227268,-2946.2960177,2751.56564653
43608,18639.4968524,-6833.76721556,2220.94292468,-1547.31163221
43609,-9684.07087217,-26823.2318121,-4693.0932727,30213.1039662
43610,-14233.886173,35021.301089,-7764.28845183,-265.377304658
43611,20882.4318233,-9557.15776584,-678.518544481,-1580.7601722
43612,23603.3316139,-5726.91733551,-2913.21695539,2751.10094371
43613,23586.7938272,-5766.60648112,-2910.70104308,2730.99523931
43614,23558.9223071,-5801.31175084,-2826.35826165,2640.56664928
43615,23715.3097923,-5772.45856584,-2755.36892578,2666.52405922
43616,-16616.3847148,-48117.6623971,11298.2301005,6965.92151667
43617,1614.518571,-32124.5111611,9025.36546401,-29790.1360067
43618,5270.20112503,-12764.2571473,9617.13440158,-12373.8173915
43619,-28576.8859134,-48632.7680644,16578.5816002,863.832809135
43620,-28576.8859134,-48632.7680644,16578.5816002,863.832809135
43621,-28576.8859134,-48632.7680644,16578.5816002,863.832809135
43622,-18797.6546741,-15997.2049269,-11611.4747975,28720.4368527
43623,-6499.9441472,-26102.5325497,4808.33542758,31686.690156
43624,-6499.9441472,-26102.5325497,4808.33542758,31686.690156
43625,-5145.82027028,-28007.2664897,2840.65845073,31630.73473
43626,-5145.82027028,-28007.2664897,2840.65845073,31630.73473
43627,-5145.82027028,-28007.2664897,2840.65845073,31630.73473
43628,-5145.82027028,-28007.2664897,2840.65845073,31630.73473
43629,4498.84234459,-22653.9155846,2410.98365118,-23940.1226233
43630,-1019.63236277,-30587.7447227,7426.85765881,-34390.6132325
43631,6866.69270784,-20062.6453123,2316.15579504,-21919.9665299
43632,24517.1094252,-5232.16967178,-3047.14773074,3380.35200063
43633,24751.6530097,-4897.19168079,-3081.02955299,3630.22530941
43634,-33689.5819057,17665.5266335,7205.59907511,16622.1753468
43635,-20631.9665697,39500.4101202,-4944.85633367,-2294.17770755
43636,-20631.9665697,39500.4101202,-4944.85633367,-2294.17770755
43637,-20631.9665697,39500.4101202,-4944.85633367,-2294.17770755
43638,-20631.9665697,39500.4101202,-4944.85633367,-2294.17770755
43639,16772.0025467,-16489.006972,2618.93602819,-9884.82109274
43640,16772.0025467,-16489.006972,2618.93602819,-9884.82109274
43641,16772.0025467,-16489.006972,2618.93602819,-9884.82109274
